source,destination,length
1425481268,1425481254,20.148637668310297
1425481268,1425481307,48.5530380037959
1425481276,1425481305,59.62017608587597
1425481276,1425481242,53.530086051348356
1425481276,11843589475,47.96838759007105
1425481279,1425481308,68.77623294434679
1425481279,1425481252,50.54933688961878
1425481279,1425481295,27.833539278553484
1425481280,1425481240,48.02382564028625
1425481280,1425481256,45.16530116885876
1425481280,1425481290,33.73467224837907
1425481288,1425481308,50.52119166170356
1425481288,1425481309,58.681153939083906
1425481288,1425481252,67.17128909875069
1425481290,1425481311,54.162937080009236
1425481290,1425481280,33.73467224837907
1425481290,1425481307,37.40791699882823
1425481295,1425481312,68.29233085751022
1425481295,1425481279,27.833539278553484
1425481295,1425481313,45.77034621037107
1425481299,3869425717,7.053137560074648
1425481299,10091722245,94.3997385840857
1425481305,1425481276,59.62017608587597
1425481305,1425481311,42.27319354312889
1425481305,11843589476,49.20198360597843
1425481307,1425481268,48.5530380037959
1425481307,1425481290,37.40791699882823
1425481307,1425481313,48.52297486418473
1425481308,1425481279,68.77623294434679
1425481308,1425481288,50.52119166170356
1425481308,1425481312,27.414286729175483
1425481309,1425481328,45.31590618780045
1425481309,1425481356,113.57435161401729
1425481309,1425481288,58.681153939083906
1425481309,3436450316,46.02377328579813
1425481311,1425481305,42.27319354312889
1425481311,1425481339,59.99342982351513
1425481311,1425481290,54.162937080009236
1425481311,1425481350,47.32217721993577
1425481312,1425481308,27.414286729175483
1425481312,1425481295,68.29233085751022
1425481312,1425481349,57.08120987918914
1425481313,1425481295,45.77034621037107
1425481313,1425481307,48.52297486418473
1425481313,1425481325,20.96462304444822
1425481323,3970745317,21.58040822008174
1425481324,4833930796,42.509259260059196
1425481324,2621942760,11.658025803074768
1425481324,4833930788,49.92974976605167
1425481325,1425481361,48.402202971171484
1425481325,1425481313,20.96462304444822
1425481325,1425481358,115.86012923119156
1425481328,1425481349,32.11904484117092
1425481328,1425481309,45.31590618780045
1425481328,1425481385,113.63808840664781
1425481330,7087780736,49.13976455440625
1425481339,1425481311,59.99342982351513
1425481339,1425481361,45.623410013888204
1425481339,1425481379,47.050520263082525
1425481349,1425481358,15.091883288114994
1425481349,1425481328,32.11904484117092
1425481349,1425481312,57.08120987918914
1425481350,1425481379,59.84149395342649
1425481350,1425481311,47.32217721993577
1425481350,12096737240,56.00901441737161
1425481356,1425481385,47.37114127368985
1425481356,3436450315,47.63369479203342
1425481356,1425481309,113.57435161401729
1425481358,1425481349,15.091883288114994
1425481358,1425481380,39.75214389200672
1425481358,1425481325,115.86012923119156
1425481361,1425481339,45.623410013888204
1425481361,1425481388,57.58534701413197
1425481361,1425481325,48.402202971171484
1425481361,1425481390,55.889782241911504
1425481379,1425481339,47.050520263082525
1425481379,1425481350,59.84149395342649
1425481379,12096737806,8.446700049985516
1425481380,1425481412,79.82822422530998
1425481380,1425481358,39.75214389200672
1425481380,1425481402,44.34498180995039
1425481385,1425481328,113.63808840664781
1425481385,1425481404,43.117737227128366
1425481385,1425481356,47.37114127368985
1425481388,1425481361,57.58534701413197
1425481388,12095322632,22.742350659453656
1425481388,1425481407,56.69836308847219
1425481390,1425481407,54.491219121678576
1425481390,1425481361,55.889782241911504
1425481390,10171077401,47.93640063012605
1425481402,1425481428,80.32699373161826
1425481402,1425481380,44.34498180995039
1425481402,1425481404,30.747562064206353
1425481403,12095322632,26.59704300871911
1425481403,1425481412,38.45134363388005
1425481403,1425481433,101.06177042982448
1425481404,1425481402,30.747562064206353
1425481404,1425481436,80.56697720810733
1425481404,1425481385,43.117737227128366
1425481407,1425481388,56.69836308847219
1425481407,1425481390,54.491219121678576
1425481407,10171077402,47.20455460425694
1425481412,1425481403,38.45134363388005
1425481412,1425481428,45.607641484505315
1425481412,1425481380,79.82822422530998
1425481412,1425481446,78.50932882524921
1425481415,4112120623,18.52315287312977
1425481415,4112120625,39.62164657100735
1425481415,3895167236,22.509149053981584
1425481419,10091722229,36.355067186290874
1425481419,3945284087,20.004160061031932
1425481419,3895167247,19.20943303939196
1425481428,1425481412,45.607641484505315
1425481428,1425481436,27.89868572319428
1425481428,1425481402,80.32699373161826
1425481428,1425481465,76.20031617417226
1425481433,1425481403,101.06177042982448
1425481433,12096714141,23.89616196806216
1425481433,12096714140,46.24807161580002
1425481436,1425481428,27.89868572319428
1425481436,12096714136,76.64902317088406
1425481436,1425481404,80.56697720810733
1425481440,4112120628,21.60058642093102
1425481440,3895167244,20.262600460225947
1425481440,4112120629,17.37116199476545
1425481440,3895167243,22.274094223867394
1425481443,3945284087,37.53553485970264
1425481443,10091722231,22.336991296438892
1425481443,3945284092,21.351061899951198
1425481445,4112120632,18.458306097507947
1425481445,4112120639,37.760956467668166
1425481445,4112120625,23.683931839755797
1425481445,7087780724,57.7885459397759
1425481446,1425481412,78.50932882524921
1425481446,12096714140,21.29914640027073
1425481446,12096714138,21.826278594854752
1425481460,7087780724,62.917381327059005
1425481460,4112120647,40.301770607064036
1425481460,4112120638,19.017851694040544
1425481463,3945284023,19.67972208808446
1425481463,3895167249,19.098158737399217
1425481463,4112120640,19.02378908805315
1425481463,3945284089,22.447231619017593
1425481465,1425481428,76.20031617417226
1425481465,12096714137,47.08929533814507
1425481465,12096714138,23.156051877763577
1425481465,12096714136,26.260644619582564
1425481469,4112120635,19.96337382075169
1425481469,4112120645,20.902378763145073
1425481469,4112120646,16.893307652463324
1425481469,4112120633,23.654684235194424
1425481599,4112120638,38.894390476917856
1425481599,4112120653,18.355943873488563
1425481599,4112120655,17.892782775404488
1425481599,4112120639,23.877262424597365
1425481600,1425481605,22.845185017099563
1425481600,3945284094,20.407598376624073
1425481600,3945284028,18.877656810218742
1425481600,3945284092,42.5143154625947
1425481602,4112120650,18.203102133362854
1425481602,4112120662,20.138163170683853
1425481602,4112120663,18.34696981156562
1425481602,3945284025,21.969369502151523
1425481603,4112120647,23.279114211164888
1425481603,6329999448,34.08563922068834
1425481603,4112120661,19.003532353787868
1425481603,7087780707,29.63223998791468
1425481605,1425481600,22.845185017099563
1425481605,1425481648,63.31751414552285
1425481605,10091722231,64.33682962512096
1425481607,4112120658,19.45427883070733
1425481607,4112120671,21.964402487981314
1425481607,4112120672,19.269965862513956
1425481607,4112120654,23.683869055644905
1425481629,3945284030,20.61089863914118
1425481629,1425481648,22.757068025004525
1425481629,4112120684,18.868608032060095
1425481629,3945284028,44.43114052950565
1425481632,4112120681,17.89738354614309
1425481632,4112120667,20.625157723297992
1425481632,4112120685,20.008607304912868
